seed,method,value,weight
0,GR-B,10319,1000
0,GR-LS,10319,1000
0,PSI,20341,4820
1,GR-B,9094,997
1,GR-LS,9096,1000
1,PSI,20297,4977
2,GR-B,12143,999
2,GR-LS,12143,999
2,PSI,21952,4562
3,GR-B,9175,1000
3,GR-LS,9175,1000
3,PSI,19267,4975
4,GR-B,10108,1000
4,GR-LS,10108,1000
4,PSI,19872,4987
5,GR-B,9977,998
5,GR-LS,9981,1000
5,PSI,19731,4601
6,GR-B,11657,998
6,GR-LS,11660,1000
6,PSI,20757,4591
7,GR-B,9120,995
7,GR-LS,9132,999
7,PSI,19363,4974
8,GR-B,9924,1000
8,GR-LS,9924,1000
8,PSI,20114,4732
9,GR-B,10624,1000
9,GR-LS,10624,1000
9,PSI,21703,4951
10,GR-B,9758,998
10,GR-LS,9763,999
10,PSI,19845,4695
11,GR-B,8943,999
11,GR-LS,8943,999
11,PSI,19236,4931
12,GR-B,9996,995
12,GR-LS,10007,1000
12,PSI,19330,4191
13,GR-B,10266,1000
13,GR-LS,10266,1000
13,PSI,19632,4325
14,GR-B,9712,998
14,GR-LS,9720,1000
14,PSI,19832,5123
15,GR-B,9516,999
15,GR-LS,9516,999
15,PSI,20406,5118
16,GR-B,10099,999
16,GR-LS,10099,999
16,PSI,19217,4015
17,GR-B,10657,998
17,GR-LS,10662,1000
17,PSI,21463,4566
18,GR-B,10553,999
18,GR-LS,10553,999
18,PSI,18858,4417
19,GR-B,9827,993
19,GR-LS,9829,998
19,PSI,19606,4867
20,GR-B,9300,997
20,GR-LS,9304,999
20,PSI,18877,5037
21,GR-B,9503,997
21,GR-LS,9506,998
21,PSI,18945,4306
22,GR-B,9678,998
22,GR-LS,9687,1000
22,PSI,19755,4861
23,GR-B,9744,998
23,GR-LS,9744,998
23,PSI,18330,4752
24,GR-B,9674,1000
24,GR-LS,9674,1000
24,PSI,20103,4808
25,GR-B,10376,998
25,GR-LS,10384,1000
25,PSI,20886,4601
26,GR-B,9786,1000
26,GR-LS,9786,1000
26,PSI,21129,4811
27,GR-B,10236,999
27,GR-LS,10236,999
27,PSI,20397,5062
28,GR-B,9936,998
28,GR-LS,9936,998
28,PSI,20442,4856
29,GR-B,10503,997
29,GR-LS,10512,1000
29,PSI,21553,4928
